Quantity,Brand,Part Number,Subcategory,Application,Engine,Description,Jobber,Public Price,Last Purchase,Last Sale,Category,Dealer,Type
1,ACL,OPHD1194HP,Engine,Honda B-Series,1.6L/1.8L/2.0L,ACL Honda B20B4/B18C1/B16A2/B20Z2 High Performance Oil Pump,"$3,420.00 ","$3,830.00 ",4-Jun-23,4-Jun-23,D,$0.00 ,E
,AAM Competition,AAMC37T-IC-STGII,Cooling,Nissan 370Z V6 3.7L +09,3.7L,AAM Competition 370Z STG II Intercooler,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,AAM Competition,AAMC37T-TTK-T-STGII,Turbo/SC,Nissan 370Z +12,3.7L,"AAM Competition 370Z (2012+) Twin Turbo Kit - Tuner Series With Stage 2
Upgrade Turbos (370Z STG I Intercooler)",$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,ACL,4B8172H-STD,Engine,Ford Focus 2.3 Ecoboost,2.3T,ACL L3-VDT MZR Duratec 2260cc Turbo Standard Size High Performance Rod Bearing Set,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,ACL,4B8310H-STD,Engine,Subaru WRX DIT +15,2.0T,ACL Subaru/Scion FA20 Standard Size High Performance Rod Bearing Set,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,ACL,5M8174HX-STD,Engine,Ford Focus 2.3 Ecoboost,2.3T,ACL 03+ Ford/Mazda 4 2.0L/2.3L DOHC Duratec Standard Size Race Series Main Bearing Set,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,ACL,6B2390H-.50,Engine,Nissan 300ZX V6 3.0TT 90-96,3.0TT,ACL Nissan VG30DETT 3.0L-V6 0.50mm Oversized High Performance Rod Bearing Set,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,ACL,8B1442HX,Engine,Ford Mustang V8 5.0 +10,5.0L,ACL Ford Prod V8 4.6L/5.4L Standard Size Race Series Connecting Rod Bearing Set,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,Advan,YAS9I25WA,Wheel,19x9 5x120 +25,All,Advan RS-DF Progressive 19x9.0 +25 5-120 Dark Bronze Metallic Wheel,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,AEM,21-781DS,Air Filter,Mercedes Benz CLA 250 13-19,2.0T,AEM 13-15 Mercedes CLA250 L4 2.5L Silver Cold Air Intake,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,AEM,21-786C,Air Filter,Mazda MX-5 +16,2.0L,AEM 2016 C.A.S Mazda MX-5 Miata L4-2.0L F/I Cold Air Intake,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,AEM,21-839C,Air Filter,Mini Cooper F56 14-18,2.0T,AEM 14-17 Mini Cooper S L4-2.0L F/I Gunmetal Gray Cold Air Intake,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,AEM,24-6030C,Air Filter,Mitsubishi Eclipse 2.0L M/T Only Silver V2 Intake,2.0L,AEM 95-99 Mitsubishi Eclipse 2.0L M/T Only Silver V2 Intake,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,AEM,25-302BK,Fuel,Universal,All,AEM Universal Black Adjustable Fuel Pressure Regulator,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
,AEM,29-0005,Suspension,Mini Cooper R56 1.6T 2008-2013,1.6T,AEM 07-10 Mini Cooper S L4 Strut Bar,$140.00 ,$150.00 ,31-Dec-69,31-Dec-69,-,$0.00 ,E
